n sin-podas poda-A poda-B ambas-podas sin-podas-div-2n poda-A-div-2n poda-B-div-2n ambas-podas-div-2n sin-podas-div-2nn3 poda-A-div-2nn3 poda-B-div-2nn3 ambas-podas-div-2nn3
2 8586 4379.25 4979.62 4273.88 536.625 273.703 311.227 267.117 67.0781 34.2129 38.9033 33.3896
3 21062.9 14628.7 12978.6 11928.1 329.108 228.573 202.791 186.376 12.1892 8.46568 7.51077 6.90282
4 117179 41556.3 19048.8 16466.2 457.732 162.329 74.4095 64.321 7.15206 2.5364 1.16265 1.00502
5 320995 220546 70294.1 66157.6 313.472 215.377 68.6466 64.607 2.50778 1.72302 0.549173 0.516856
6 5.96405e+06 4.0195e+06 371483 337522 1456.07 981.322 90.6941 82.4028 6.74105 4.54316 0.41988 0.381494
7 3.31633e+07 2.75746e+07 2.09079e+06 1.98354e+06 2024.13 1683.02 127.612 121.065 5.90125 4.90676 0.372046 0.352961
8 3.40393e+08 1.96788e+08 2.75883e+07 2.66183e+07 5193.98 3002.75 420.964 406.163 10.1445 5.86474 0.822196 0.793287
9 4.64986e+09 4.23523e+09 5.77652e+07 5.46824e+07 17737.8 16156.1 220.357 208.597 24.3317 22.162 0.302273 0.286141
