nm t_B1 t_G1 t_B2 t_G2
232 158034 166248 110529 121470
233 156166 168434 108925 117244
234 155262 168726 112773 128230
235 147696 154046 117474 138387
236 146020 156820 107295 116706
237 146159 155719 116952 135734
238 150911 157589 112454 129017
239 148012 157291 108449 121045
240 146932 154598 116474 129373
241 148664 153499 105921 116118
242 152596 165864 116955 129748
243 146569 153364 105886 120797
244 154457 167992 125811 140041
245 162699 161097 108405 123544
246 146045 158570 111932 126547
247 161923 169751 117881 131611
248 160797 158197 112825 124383
249 159743 168842 115044 126185
250 158078 160340 111003 122988
251 149774 159024 107822 120505
252 154718 156732 105186 118540
253 151951 159448 112924 124550
254 159567 160567 114233 122843
255 163312 166899 115228 127728
256 157518 172815 120512 138109
257 175698 180908 132997 149934
258 168635 173289 111078 122657
259 170444 180449 126264 137894
260 169022 165897 117487 128565
261 165946 166856 113361 119590
262 167502 162908 120240 125169
263 164704 175124 111150 119824
264 164782 173905 126887 134179
265 161313 171962 120321 133980
266 164573 173617 115445 130997
267 175003 174525 123106 134520
268 165944 175145 127039 139861
269 172311 181869 121630 140357
270 168855 175975 126726 139370
271 189052 191727 147438 157247
272 184776 184183 138304 152261
273 185142 187351 127762 133035
274 181962 187677 126620 136157
275 186773 182556 123036 136812
276 201357 198763 133181 151902
277 178976 175049 127989 138398
278 207861 209801 142840 159042
279 204659 202210 132773 144807
280 188453 189038 133908 151793
281 191355 208172 132742 144378
282 172769 186564 118836 133575
283 182302 185168 124456 136431
284 175075 172174 124131 132367
285 183763 183318 128307 136283
286 184165 182345 118916 128604
287 188028 193637 131752 141227
288 185509 194951 134339 145266
289 174967 173726 127512 134854
290 170403 168741 120722 125768
291 164645 167914 120101 131633
292 160833 162450 116371 123506
293 164899 173067 116926 127200
294 180856 192398 147266 158166
295 193043 195904 135190 136466
296 187611 192434 126308 132586
297 195124 197393 134761 141683
298 192729 188694 118677 130766
299 189767 197424 132684 142188
300 171419 174080 117498 130178
301 193409 203969 116334 127739
302 211763 194570 140130 149891
303 184279 190908 122984 133200
304 195093 189014 127266 138718
305 199367 192996 137456 149038
306 192490 190872 132170 148138
307 201014 196856 123439 132753
308 197214 201021 136849 156871
309 195145 191951 147240 153238
310 192614 192091 120958 123562
311 178333 185030 128257 143632
312 189525 182239 127494 135986
313 193789 188935 126536 134593
314 187378 191100 119719 123847
315 166967 166386 108630 112715
316 180178 175661 122462 125396
317 181162 177361 137679 140779
318 158937 167870 113874 122831
319 175475 175625 112977 119602
320 171833 176416 119689 133016
321 160310 162233 118458 120217
322 175425 168646 111814 115135
323 182704 181156 121504 131645
324 172184 171465 125001 128107
325 218687 222777 153236 153678
326 231685 240625 173674 180593
327 241776 245498 151547 156974
328 229617 220472 150061 159825
329 239504 246240 159583 164633
330 236172 223601 162634 168254
331 273221 263650 170344 167802
332 270137 258917 168433 178042
333 235796 227302 151961 150807
334 238953 241183 155534 162149
335 225997 223095 156392 165822
336 232714 213300 141163 146087
337 196766 198006 141333 154338
338 200753 194890 136286 144118
339 208131 199425 138786 141910
340 197843 192613 128461 134290
341 184158 181197 122359 124830
342 185658 178118 118388 118333
343 191867 184093 124296 124639
344 170521 163825 115668 113343
345 175346 165724 120278 121566
346 185815 177419 123141 122381
347 178058 168373 108197 109082
348 182556 171089 122425 123495
349 171998 175313 115212 118941
350 178211 176281 126528 126645
351 164022 161855 115586 122739
352 193158 181794 117449 120083
353 194057 188858 128736 131274
354 192501 182858 136281 141205
355 210017 221636 144891 151038
356 200361 199877 131895 134166
357 193084 186380 142156 147117
358 184611 177344 118590 120524
359 201560 188571 121954 128060
360 180113 178386 122111 121865
361 193227 185813 122448 123642
362 218170 210828 150077 151886
363 191128 181789 118359 118452
364 183773 181306 125862 129728
365 205042 194086 124284 127607
366 192845 190009 125379 124469
367 208813 202176 150444 152790
368 193460 186869 123372 125414
369 192897 185956 137480 141566
370 190510 175079 129386 127711
371 202459 190240 121163 121810
372 181676 181584 110555 112383
373 198350 191572 109850 109822
374 203573 189884 124731 128089
375 188201 187891 119116 118774
376 168911 163787 109412 108086
377 173135 163344 118047 116260
378 170105 169332 119127 116783
379 219390 203505 150287 150790
380 218057 204787 137600 136915
381 204382 204142 144473 146425
382 203413 180464 116330 116770
383 223259 213635 144025 141423
384 223682 211968 140624 135008
385 199693 199184 133785 135880
386 205695 197940 138187 137262
387 208664 200015 135964 135378
388 231913 221604 137118 136337
389 243945 228687 152465 150238
390 210322 196520 128547 128127
391 213098 208951 125915 126183
392 197493 189175 132904 133129
393 206308 202943 150161 150914
394 185538 178756 112149 113261
395 175701 171152 121208 118370
396 181036 180719 130871 132072
397 198074 190129 116261 117602
398 169637 169910 109069 107821
399 188667 187796 109818 108915
400 203988 200252 119822 121016
401 241426 236577 141862 144103
402 212860 202553 105227 106283
403 188634 190397 115807 115982
404 177346 175765 115132 115198
405 190886 189034 113700 115366
406 191597 191510 126204 126206
407 225156 212298 135090 137500
408 248997 238500 133164 135852
