m t_B1 t_G1 t_B2 t_G2
227 162383 167965 118865 132642
228 160094 164475 115661 127357
229 165937 171066 110021 121327
230 164850 166060 115704 125075
231 154920 161014 107945 119638
232 161747 164456 111762 121165
233 152673 155847 115578 121786
234 160899 163380 112125 116466
235 164316 165513 122726 133636
236 158164 168046 115564 126741
237 157493 165472 114275 129442
238 177176 192380 123510 135013
239 170225 178935 126657 146311
240 166067 174931 128143 140238
241 168216 173861 113166 123368
242 170632 173060 119270 136840
243 160068 162598 124260 131357
244 184253 193270 127152 140832
245 187782 182550 129287 141121
246 198019 193180 140404 150628
247 182095 185357 131344 143295
248 195308 186445 132553 147365
249 205148 209317 142248 155401
250 183127 184914 121815 134745
251 190620 184185 128952 140047
252 173600 184333 127510 138780
253 178229 180111 121052 133437
254 178512 193729 128248 144520
255 190557 195436 143337 153999
256 185944 190304 126851 132779
257 180936 180849 120116 129737
258 184961 187174 129429 138946
259 200724 198588 138483 145922
260 195981 202244 138142 147241
261 179505 180522 127742 134679
262 169025 174740 118402 129013
263 169425 166904 114027 128251
264 165198 175579 137902 145913
265 182081 191313 132969 140091
266 168723 174017 120527 123808
267 157479 158943 111227 114500
268 165541 161316 119138 126057
269 160961 166594 116972 124934
270 211988 215776 141964 157366
271 188513 197374 122306 135774
272 197781 194379 127989 137050
273 190089 186613 121425 127189
274 184933 183634 122591 130605
275 177236 178176 111887 123229
276 181916 178742 118837 128636
277 203848 204317 138240 151101
278 232953 225792 145189 165476
279 218874 206904 147437 159642
280 202260 204059 141559 147186
281 190624 190415 121709 129734
282 192300 195514 132669 145933
283 195606 181975 137174 144036
284 178233 188111 112900 118785
285 184580 183123 123747 128384
286 171716 171670 115544 118218
287 174378 167815 121009 125245
288 181546 186158 127367 135367
289 173793 181781 120026 126788
290 186738 178010 129990 141182
291 164685 162302 129231 134938
292 167503 176072 108378 110167
293 168808 174555 119432 129200
294 175932 167313 112883 116033
295 179402 176360 126038 133157
296 191663 188217 136804 139238
297 211913 214813 141204 147544
298 199886 206436 137608 143024
299 223839 229571 147146 147255
300 205702 208020 142670 152286
301 256389 246267 166738 166889
302 258711 240161 177321 188341
303 242259 229985 162886 164574
304 264542 257424 166462 165229
305 260799 259375 160189 169514
306 244928 237016 161414 166649
307 226851 209455 145606 150196
308 216338 219755 143593 159822
309 194266 188468 132224 131953
310 206921 204707 122219 126933
311 184090 181221 132722 138696
312 204211 189670 123424 127537
313 179091 178406 128537 128994
314 176973 169977 117878 116441
315 197619 184260 133382 129177
316 196524 191691 118580 121333
317 189407 179911 122915 124429
318 192119 174276 119711 118849
319 182664 180361 122095 125134
320 181854 181571 121754 124037
321 177733 173542 122274 129642
322 166940 160659 124807 122710
323 164938 159067 116459 120893
324 158753 158614 106751 111434
325 168133 167507 110288 114459
326 213412 214848 138947 140883
327 196038 189461 134917 137879
328 186866 184905 124723 128242
329 199915 198792 143129 148868
330 196634 185431 123093 125512
331 193157 180313 122724 123204
332 182539 172333 113748 115096
333 195712 194540 125169 125379
334 206553 201300 148715 150153
335 208617 194799 118026 121748
336 192746 192372 127612 127472
337 209123 197626 145739 148438
338 208455 199473 135220 136568
339 197103 190574 131882 133642
340 172601 166160 126910 130517
341 205112 194183 137051 135977
342 191780 185667 122498 124126
343 208098 196940 112500 114376
344 193433 186269 116045 117109
345 195837 195457 125926 125424
346 203628 192922 123332 122679
347 177086 166714 103865 104455
348 171849 168923 124927 120272
349 174307 168738 115561 115242
350 182407 177501 119557 120766
351 174280 163510 122399 123130
352 209805 194640 141671 141504
353 217248 200948 125524 124101
354 232450 225491 157880 151869
355 211695 206331 136041 137648
356 197969 190169 132111 131203
357 212566 206151 138073 136861
358 211157 197460 134966 134310
359 228403 227420 139546 140237
360 241748 217267 139793 137923
361 216981 205620 128442 128179
362 199856 201463 125180 125780
363 221521 217829 148191 148441
364 202303 191260 142412 143039
365 170688 164335 110069 107971
366 181854 181343 124387 125671
367 189845 183047 128558 129283
368 191658 192445 117654 116838
369 196722 194904 117730 116792
370 201758 199283 118638 120214
371 241567 231426 141768 142755
372 202168 196796 104307 105838
373 188985 187153 107414 108617
374 172948 170551 96886 96582
375 174448 177540 121219 122285
376 202820 200684 123939 123381
377 187409 181945 114814 115962
378 195641 187003 109128 111021
379 227523 219485 132576 135428
380 227668 207628 123266 124025
381 173200 170195 98043 97867
382 225962 207852 120280 120145
383 217441 221977 105662 107068
384 216476 210186 143494 143505
385 162703 162572 75941 76139
386 194512 191222 100868 101983
387 188269 188531 99995 99386
388 192667 187983 90054 90419
389 162258 161895 79826 81090
390 179701 181697 82076 83119
391 206563 200952 94160 95187
392 176872 173065 81518 80031
393 176983 171048 73665 74135
394 189564 185538 85584 86546
395 150777 150194 58475 58781
396 150451 151385 86826 86738
397 141772 143235 67820 68166
398 193783 190136 98995 99019
399 193072 183194 85197 87462
400 169256 166083 92047 95459
401 182290 175369 94474 94858
402 159090 159155 93980 94174
403 172767 174293 78512 78564
404 147697 149530 72006 72575
405 135234 135949 62325 62694
406 141312 143644 76422 77107
407 171551 168479 59352 59447
408 201240 200866 58847 59511
409 157213 156464 59211 59486
410 160736 162095 59448 59694
411 130009 130268 59041 59966
412 124197 124054 58403 58741
413 106687 107732 58829 58962
414 160291 159982 59112 59640
415 125578 125977 59126 60203
416 141018 139852 57322 57798
417 109560 109644 59295 60822
418 129960 129668 61581 60023
419 161267 166174 76747 78343
420 145143 144586 73334 73812
421 148832 148619 68263 71109
422 120647 120755 63651 63397
423 90080 91107 59838 60111
424 97341 97278 60265 61360
425 93622 93766 60149 60854
426 89271 89559 59869 60404
427 108439 108983 58191 58366
428 80807 82845 59219 59695
429 98526 98645 65440 64067
430 97858 98894 62952 62876
431 92874 93162 60087 61158
432 89181 90664 63707 63551
433 85795 85233 60556 61278
434 75898 76137 59363 59656
435 77195 78144 60438 61415
