1 0 1 6449.00000000
2 1 1 14681.00000000
3 2 1 30922.00000000
4 3 2 103512.00000000
5 4 2 208168.00000000
6 5 2 707896.00000000
7 6 3 2809987.00000000
8 7 3 11012219.00000000
9 8 3 56234965.00000000
10 9 4 211024647.00000000
11 10 4 1126450195.00000000
12 11 4 5754666035.00000000
13 12 5 28213264770.00000000
