1 0 1 44768.00000000
2 1 1 47805.00000000
3 3 1 25062.00000000
4 6 1 31299.00000000
5 10 1 30883.00000000
6 15 1 43993.00000000
7 21 1 42794.00000000
8 28 1 32501.00000000
9 36 1 50613.00000000
10 45 1 36029.00000000
11 55 1 37582.00000000
12 66 1 65679.00000000
13 78 1 60065.00000000
14 91 1 64397.00000000
15 105 1 47334.00000000
16 120 1 46064.00000000
17 136 1 79269.00000000
18 153 1 49462.00000000
19 171 1 82504.00000000
20 190 1 91754.00000000
21 210 1 55055.00000000
22 231 1 61698.00000000
23 253 1 64773.00000000
24 276 1 148025.00000000
25 300 1 70627.00000000
26 325 1 76758.00000000
27 351 1 79770.00000000
28 378 1 88996.00000000
29 406 1 87824.00000000
30 435 1 138588.00000000
31 465 1 95702.00000000
32 496 1 106002.00000000
33 528 1 188817.00000000
34 561 1 110830.00000000
35 595 1 105859.00000000
36 630 1 115518.00000000
37 666 1 199485.00000000
38 703 1 202923.00000000
39 741 1 170976.00000000
40 780 1 221729.00000000
41 820 1 137646.00000000
42 861 1 220277.00000000
43 903 1 150115.00000000
44 946 1 150891.00000000
45 990 1 139009.00000000
46 1035 1 147000.00000000
47 1081 1 145770.00000000
48 1128 1 201082.00000000
49 1176 1 154736.00000000
50 1225 1 161058.00000000
51 1275 1 191293.00000000
52 1326 1 215742.00000000
53 1378 1 355838.00000000
54 1431 1 203253.00000000
55 1485 1 222251.00000000
56 1540 1 208360.00000000
57 1596 1 274596.00000000
58 1653 1 233420.00000000
59 1711 1 227200.00000000
60 1770 1 265879.00000000
61 1830 1 339154.00000000
62 1891 1 276581.00000000
63 1953 1 340823.00000000
64 2016 1 346158.00000000
65 2080 1 354112.00000000
66 2145 1 317138.00000000
67 2211 1 272499.00000000
68 2278 1 273085.00000000
69 2346 1 287357.00000000
70 2415 1 305760.00000000
71 2485 1 418516.00000000
72 2556 1 447603.00000000
73 2628 1 432112.00000000
74 2701 1 314962.00000000
75 2775 1 334494.00000000
76 2850 1 333281.00000000
77 2926 1 484566.00000000
78 3003 1 486347.00000000
79 3081 1 717480.00000000
80 3160 1 502750.00000000
81 3240 1 754856.00000000
82 3321 1 390840.00000000
83 3403 1 400239.00000000
84 3486 1 410105.00000000
85 3570 1 417533.00000000
86 3655 1 426244.00000000
87 3741 1 484908.00000000
88 3828 1 492611.00000000
89 3916 1 904172.00000000
90 4005 1 525233.00000000
91 4095 1 467972.00000000
92 4186 1 538880.00000000
93 4278 1 856655.00000000
94 4371 1 585483.00000000
95 4465 1 499618.00000000
96 4560 1 515728.00000000
97 4656 1 524296.00000000
98 4753 1 537504.00000000
99 4851 1 1116904.00000000
100 4950 1 1374500.00000000
