1 0 1 43972.00000000
2 1 1 32803.00000000
3 3 1 34740.00000000
4 6 1 71116.00000000
5 10 1 84986.00000000
6 15 1 68073.00000000
7 21 1 84771.00000000
8 28 1 147456.00000000
9 36 1 180574.00000000
10 45 1 143595.00000000
11 55 1 170397.00000000
12 66 1 199875.00000000
13 78 1 360826.00000000
14 91 1 438677.00000000
15 105 1 353778.00000000
16 120 1 507662.00000000
17 136 1 716377.00000000
18 153 1 543010.00000000
19 171 1 631600.00000000
20 190 1 770258.00000000
21 210 1 986718.00000000
22 231 1 869534.00000000
23 253 1 835023.00000000
24 276 1 1732392.00000000
25 300 1 1086508.00000000
26 325 1 1480204.00000000
27 351 1 1241089.00000000
28 378 1 1909655.00000000
29 406 1 1742184.00000000
30 435 1 1807017.00000000
31 465 1 2079514.00000000
32 496 1 2099145.00000000
33 528 1 2173819.00000000
34 561 1 4231365.00000000
35 595 1 2504519.00000000
36 630 1 2709835.00000000
37 666 1 3901269.00000000
38 703 1 3145981.00000000
39 741 1 3374745.00000000
40 780 1 4132710.00000000
41 820 1 4020593.00000000
42 861 1 4308715.00000000
43 903 1 4573861.00000000
44 946 1 5331589.00000000
45 990 1 6964568.00000000
46 1035 1 7094447.00000000
47 1081 1 7108544.00000000
48 1128 1 6235281.00000000
49 1176 1 7127065.00000000
50 1225 1 7479220.00000000
51 1275 1 7690257.00000000
52 1326 1 7826156.00000000
53 1378 1 9836979.00000000
54 1431 1 8797079.00000000
55 1485 1 10653324.00000000
56 1540 1 12385608.00000000
57 1596 1 12706398.00000000
58 1653 1 12998310.00000000
59 1711 1 16230444.00000000
60 1770 1 14142210.00000000
61 1830 1 14815897.00000000
62 1891 1 15620807.00000000
63 1953 1 16769960.00000000
64 2016 1 13936132.00000000
65 2080 1 15154754.00000000
66 2145 1 16250399.00000000
67 2211 1 18875714.00000000
68 2278 1 17206860.00000000
69 2346 1 18014781.00000000
70 2415 1 21384754.00000000
71 2485 1 23605689.00000000
72 2556 1 22113523.00000000
73 2628 1 25678198.00000000
74 2701 1 23483852.00000000
75 2775 1 26046429.00000000
76 2850 1 28270716.00000000
77 2926 1 34606236.00000000
78 3003 1 33737009.00000000
79 3081 1 39036343.00000000
80 3160 1 32097586.00000000
81 3240 1 37841237.00000000
82 3321 1 32633159.00000000
83 3403 1 37841737.00000000
84 3486 1 36308365.00000000
85 3570 1 50347213.00000000
86 3655 1 37544918.00000000
87 3741 1 38106206.00000000
88 3828 1 49269956.00000000
89 3916 1 40356861.00000000
90 4005 1 44305870.00000000
91 4095 1 44046476.00000000
92 4186 1 45763042.00000000
93 4278 1 51842401.00000000
94 4371 1 51459300.00000000
95 4465 1 46277001.00000000
96 4560 1 66323293.00000000
97 4656 1 50731863.00000000
98 4753 1 58126590.00000000
99 4851 1 63776763.00000000
100 4950 1 60484407.00000000
