n sin-podas poda-A poda-B ambas-podas sin-podas-div-2n poda-A-div-2n poda-B-div-2n ambas-podas-div-2n sin-podas-div-2nn3 poda-A-div-2nn3 poda-B-div-2nn3 ambas-podas-div-2nn3
2 9073.62 4456.12 5009.25 4291.88 2268.41 1114.03 1252.31 1072.97 283.551 139.254 156.539 134.121
3 21150.2 14740.7 13039.8 12021.5 2643.78 1842.59 1629.98 1502.68 97.9177 68.2439 60.3697 55.6549
4 118235 42253 19088 16517 7389.69 2640.81 1193 1032.31 115.464 41.2627 18.6406 16.1299
5 304704 207323 54397.7 50576 9521.99 6478.83 1699.93 1580.5 76.1759 51.8306 13.5994 12.644
6 5.76834e+06 4.0103e+06 374134 338673 90130.4 62660.9 5845.84 5291.77 417.27 290.097 27.0641 24.4989
7 3.32438e+07 2.77036e+07 2.11073e+06 1.97195e+06 259717 216435 16490.1 15405.8 757.192 631.005 48.076 44.9149
8 3.41935e+08 1.97609e+08 2.78399e+07 2.67768e+07 1.33569e+06 771909 108750 104597 2608.76 1507.63 212.401 204.291
9 4.66432e+09 4.25628e+09 5.80213e+07 5.4909e+07 9.10999e+06 8.31304e+06 113323 107244 12496.6 11403.3 155.45 147.111
10 4.28541e+10 3.58023e+10 1.94754e+09 1.88978e+09 4.18497e+07 3.49632e+07 1.90189e+06 1.84548e+06 41849.7 34963.2 1901.89 1845.48
