m tv111 tv112 tv121 tv122 tv211 tv212 tv221 tv222
0  275945  271878  265703  266079  175563  174008  168032  168978
1  275045  275611  265766  266145  174349  174607  172662  170209
2  274249  271074  267260  266244  172666  171184  168662  170071
3  299386  298176  297394  299243  191061  192758  192797  190164
4  299323  303770  304100  303231  191378  192350  193156  193248
5  321410  321306  330150  333054  203042  206870  207014  210270
6  337142  337658  344841  353151  209451  215876  218784  223585
7  355236  362407  375500  380946  221064  227844  236566  241015
8  382853  395342  408388  413021  234074  246965  254134  260323
9  357903  368500  394271  404353  223924  233126  245274  254078
10  387414  402490  429272  440415  247874  255924  268984  281486
11  392553  407190  417406  433517  241127  257200  263930  277363
12  389741  410606  436043  444338  244771  258842  263414  279188
13  417211  435542  443454  467465  256019  267403  273011  290953
14  428132  447284  451602  480325  263171  281046  281797  292168
15  439696  456326  467862  493368  279416  290606  292431  311806
16  433469  450082  450513  472891  262385  278941  281956  298492
17  451660  479908  465583  488919  280612  297073  292426  313623
18  446351  479085  476473  501232  279837  298119  293314  307289
19  493819  523857  496296  527688  301109  322333  311785  335337
20  469177  490091  476134  507423  286375  305602  294441  310617
21  471613  512340  489796  533967  292345  317099  298822  323125
22  507455  536841  517870  552402  312471  330980  321413  346591
23  511381  539079  512481  551382  319293  339892  325407  347709
24  502117  531740  495598  535215  307497  327235  317579  335623
25  540522  566861  539205  561695  325696  341260  337142  358749
26  493014  524459  491508  526824  306471  323890  309337  329137
27  536520  558307  526460  557091  331545  347758  333978  350552
28  530864  562409  531695  567700  330974  347560  331873  348711
29  546329  576244  548486  575923  338371  358844  339731  360496
30  544249  570335  547241  570775  332382  353416  337509  353468
31  558704  590731  550355  576914  339559  362677  344061  362445
32  538407  558741  536888  577181  335554  353609  333437  357728
33  584614  602821  576169  610688  363481  377463  362634  382762
34  558027  576859  550515  577732  342782  357077  343729  361217
35  576060  613216  574969  609096  360564  376985  354903  379932
36  597436  631757  594387  628289  369045  385300  360385  386240
37  583156  610841  551723  586045  349670  363282  343453  362988
38  585788  618471  579809  612564  365931  386408  358078  374676
39  586989  622017  576239  614065  367232  380272  356303  374397
40  607239  639703  599008  636098  376850  391413  371128  385838
41  615437  638648  600757  626534  375363  391783  368924  389235
42  598253  642807  595591  639433  373386  390037  366750  387162
43  590330  635371  583179  609541  356313  379861  357142  377503
44  613951  639178  602732  623594  373376  393492  368728  392399
