m n_v111 n_v112 n_v121 n_v122 n_v211 n_v212 n_v221 n_v222
79  6.0000  5.7647  5.6471  5.6471  5.5882  5.4118  5.7647  5.4706
80  5.3529  5.8235  6.0000  5.7059  5.8824  6.1765  5.7647  5.4118
81  5.8824  6.0588  5.9412  5.5882  5.8824  6.0000  5.8235  5.4118
82  5.7647  5.8235  5.3529  5.1176  5.9412  5.4706  5.3529  5.6471
83  5.4706  5.6471  5.0000  5.4706  5.4706  5.7059  5.2941  5.4706
84  5.5882  5.4706  5.3529  5.4706  5.5882  5.5882  5.2353  5.1176
85  5.7647  5.0000  5.4706  5.2941  5.3529  5.3529  5.4706  5.3529
86  5.2941  5.0588  4.4706  5.0000  5.4706  5.4118  5.3529  5.0588
87  5.5294  5.1176  5.4706  5.2941  5.7059  5.8824  5.1765  5.4706
88  5.1765  5.5294  5.1765  5.1176  5.3529  5.5294  4.9412  5.3529
89  5.7647  5.2941  5.3529  4.9412  5.0000  5.2941  5.1765  5.4118
90  5.2941  5.0588  4.9412  4.8235  5.1176  5.3529  5.1176  4.9412
91  5.1765  5.1176  5.1176  4.9412  5.4118  4.8824  5.0588  5.1765
92  5.7500  5.1875  5.1875  5.0000  5.5625  5.3750  5.3125  5.1875
93  5.4375  5.3750  5.0625  5.2500  5.2500  5.7500  4.8750  5.1875
94  5.3125  5.0625  5.1250  5.0000  5.4375  5.3125  4.9375  4.7500
95  5.1250  5.3125  5.3750  5.1875  5.7500  5.5625  4.8125  4.7500
96  5.0000  4.9375  4.9375  5.0625  4.8750  5.1875  4.8125  5.0625
97  5.5625  5.1250  4.6250  5.0625  5.4375  4.8125  5.0000  5.0000
98  4.7500  5.1875  5.2500  4.8750  5.1875  5.1250  5.1250  4.6250
99  5.1875  5.1875  4.8125  4.9375  5.3125  5.0625  5.0625  5.0625
100  4.8125  4.9375  4.5625  4.7500  4.6875  5.1250  4.5625  4.9375
101  5.1875  5.5625  5.1250  4.6875  5.1250  4.8750  4.6875  4.6250
102  4.8750  5.2500  4.9375  4.8750  5.1875  5.0000  5.0000  4.7500
103  4.8750  4.9375  4.7500  4.6250  4.3750  4.8750  4.9375  4.3125
104  4.9375  4.5625  4.9375  5.0000  5.1250  4.9375  4.7500  4.8750
105  4.8125  5.0625  4.6875  5.0000  4.8750  4.5625  4.7500  4.5000
106  5.1333  4.8667  4.9333  5.0000  4.5333  5.0000  4.7333  5.0667
107  5.2000  5.0667  4.8667  5.0667  4.5333  5.0667  4.6000  5.0667
108  4.5333  4.7333  4.6667  4.6000  4.6000  4.9333  4.3333  4.7333
109  4.9333  5.0000  4.8000  4.8000  4.8667  4.9333  4.6000  4.8667
110  5.0667  4.8000  4.6000  4.6000  4.7333  5.0667  4.5333  4.8000
111  4.6667  4.7333  4.8000  4.8000  5.0667  5.1333  4.6667  4.4667
112  5.0667  4.4667  4.8667  4.6667  4.9333  5.2000  4.6000  4.9333
113  4.8667  5.2667  4.7333  4.3333  4.6667  5.0000  4.6667  4.6667
114  5.0000  4.5333  4.8000  4.1333  5.0667  4.9333  4.0000  4.6000
115  4.5333  4.4000  4.6667  4.9333  4.6667  4.5333  4.3333  4.7333
116  4.8667  4.7333  4.4000  4.4000  4.7333  4.6667  4.6000  4.8000
117  4.7333  4.4667  4.6000  4.2667  4.6667  4.8667  4.6667  4.3333
118  4.4000  4.6667  4.5333  4.2667  4.7333  4.6667  4.4000  4.6000
119  4.7333  4.5333  4.2667  4.4667  4.5333  4.8000  4.3333  4.3333
120  4.5333  4.3333  4.4667  4.6667  4.6667  4.2000  4.2000  4.0667
121  4.5000  4.7857  4.5000  4.2143  4.7857  4.5000  4.3571  4.7143
122  4.5714  4.6429  5.2857  4.7857  4.7857  4.6429  4.3571  4.2857
123  4.5000  4.6429  4.1429  4.2857  4.4286  4.7143  4.1429  4.7857
124  4.5000  4.7857  4.1429  4.2143  4.3571  4.4286  4.2143  4.4286
125  4.7143  4.5714  4.4286  4.3571  5.0000  4.7857  4.4286  4.2143
126  4.5714  4.5000  4.2143  4.5714  4.5000  4.7857  4.1429  4.5000
127  4.5714  4.1429  4.4286  4.1429  4.2143  4.3571  4.3571  4.5000
128  4.5714  4.0714  4.0714  4.2857  4.5714  4.0714  4.3571  4.2143
129  4.3571  4.1429  4.2857  4.3571  4.3571  4.2857  4.2143  3.9286
130  4.6429  4.4286  4.4286  4.0000  4.5000  4.5000  4.4286  4.5000
131  3.9286  4.7143  4.2857  4.2143  4.2857  4.4286  4.0714  4.2143
132  4.5000  4.4286  4.0000  4.3571  4.5000  4.4286  4.2857  4.0714
133  4.2857  4.5000  4.0714  3.9286  4.0000  4.0000  4.2857  4.1429
134  4.1429  3.9286  4.0000  3.8571  4.0714  3.9286  4.0714  4.2143
135  4.2143  3.9286  4.0714  3.9286  4.0714  4.4286  4.0714  4.2143
136  4.3571  4.1429  4.0000  4.2143  4.0000  4.2143  4.3571  4.0714
137  4.2308  4.7692  4.2308  4.0000  4.1538  4.4615  4.0000  4.4615
138  4.3077  4.6154  4.0000  4.0000  4.3846  4.6923  3.6923  4.1538
139  4.3077  4.6923  4.1538  4.3846  4.1538  4.5385  4.0769  4.0769
140  4.0000  4.3077  3.5385  4.0769  4.0769  4.0769  4.2308  4.3846
141  4.3077  4.5385  3.8462  3.7692  4.4615  4.5385  3.8462  3.7692
142  4.3846  4.7692  4.3846  4.6923  4.3077  4.5385  4.3846  4.2308
143  4.0769  4.1538  4.1538  4.2308  3.6923  4.0769  3.8462  4.1538
144  4.0769  4.1538  4.1538  3.9231  4.0000  3.9231  4.0769  4.0769
145  4.1538  4.0769  4.1538  3.6923  4.3077  4.1538  4.0000  4.0000
146  4.0769  4.0000  3.6923  4.0000  3.9231  4.0769  3.9231  3.8462
147  4.0769  4.0000  4.0769  3.9231  4.4615  4.3846  4.1538  4.3077
148  4.3077  4.3077  4.0769  3.6923  4.4615  4.0000  3.7692  4.1538
149  4.0769  4.0000  3.6154  3.6923  4.1538  4.0769  3.9231  3.8462
150  4.1538  4.0000  3.7692  3.9231  3.8462  4.0769  4.0000  3.6923
151  4.0000  4.0000  3.7692  3.6154  4.2308  4.1538  3.9231  4.1538
152  4.0769  3.6923  3.8462  3.6154  3.9231  3.7692  3.7692  3.3077
153  3.5385  4.0769  3.4615  3.3846  3.5385  4.0000  3.6923  3.6154
154  4.2500  4.1667  4.0000  4.0833  3.7500  4.2500  3.6667  4.0000
155  3.9167  3.5833  3.9167  3.8333  4.0000  3.8333  4.0000  3.9167
156  4.1667  3.9167  3.8333  3.7500  4.4167  4.2500  4.1667  3.4167
157  4.1667  4.3333  3.6667  4.2500  4.3333  4.0833  3.9167  3.9167
158  4.0833  4.0833  4.0000  3.5000  4.0833  3.5833  3.8333  3.6667
159  4.0833  3.7500  3.4167  3.7500  3.7500  4.0000  4.0000  4.0000
160  3.9167  3.5833  3.7500  3.8333  4.1667  4.0000  3.8333  4.1667
161  4.0000  3.9167  3.8333  3.4167  3.8333  4.0833  3.9167  3.4167
162  3.8333  4.0000  3.4167  3.8333  3.7500  3.8333  4.1667  3.4167
163  4.1667  3.6667  3.6667  3.7500  3.7500  3.5833  3.7500  3.7500
164  4.1667  3.7500  3.9167  3.8333  3.8333  3.6667  3.7500  3.5833
165  4.0000  4.1667  3.4167  3.6667  3.5833  3.7500  3.5000  3.4167
166  3.8333  3.5833  3.5833  3.5833  3.5833  3.7500  3.5833  3.7500
167  3.8333  4.0000  3.5000  3.6667  3.5000  3.9167  3.6667  3.3333
168  3.8333  3.8333  4.0833  3.5000  3.9167  3.4167  3.7500  3.4167
169  3.5833  3.5833  3.5000  3.5000  3.8333  3.6667  3.3333  3.4167
170  3.4167  3.5833  3.7500  3.3333  3.6667  3.8333  3.3333  3.3333
171  3.6667  3.5000  3.3333  3.4167  3.8333  3.5833  3.5000  3.5000
172  3.7273  4.5455  3.3636  4.0000  4.0000  3.9091  4.2727  3.6364
173  3.7273  3.8182  3.5455  3.4545  3.9091  3.9091  3.6364  3.4545
174  4.0000  4.0000  3.4545  3.5455  3.7273  4.1818  3.9091  4.0909
175  3.9091  3.8182  4.0909  3.4545  3.9091  3.8182  3.4545  3.3636
176  4.0909  3.4545  3.7273  3.5455  3.7273  3.7273  3.6364  3.5455
177  3.9091  4.0000  3.4545  3.3636  3.8182  3.8182  3.8182  3.2727
178  3.7273  3.6364  3.5455  3.6364  3.2727  3.8182  3.4545  3.5455
179  3.8182  3.6364  3.3636  3.4545  3.8182  3.6364  3.5455  3.4545
180  3.3636  3.8182  2.9091  3.5455  3.6364  3.4545  3.2727  3.3636
181  3.6364  3.9091  3.3636  3.3636  3.4545  3.6364  3.2727  3.4545
182  3.9091  3.7273  3.3636  3.5455  3.8182  3.5455  3.0909  3.3636
183  3.6364  3.8182  3.0909  2.7273  3.2727  3.6364  3.4545  3.4545
184  3.3636  3.6364  3.0909  3.7273  3.5455  3.3636  3.5455  3.2727
185  3.3636  3.3636  3.0000  3.1818  3.4545  3.7273  3.3636  3.4545
186  3.4545  3.9091  3.4545  3.1818  3.6364  3.5455  3.0909  3.2727
187  3.2727  3.9091  3.4545  3.1818  3.7273  3.9091  3.2727  3.1818
188  3.5455  3.7273  3.0000  3.2727  3.4545  3.3636  3.0000  3.2727
189  3.1818  3.2727  3.1818  2.8182  3.1818  3.2727  3.3636  3.1818
190  3.3636  3.1818  3.1818  3.1818  3.2727  3.3636  3.4545  3.3636
191  3.9000  3.2000  3.5000  3.8000  3.5000  3.6000  3.5000  3.5000
192  3.4000  3.4000  3.2000  3.3000  3.4000  3.7000  3.0000  3.5000
193  3.6000  4.3000  3.4000  3.7000  3.1000  3.5000  3.7000  3.6000
194  3.9000  4.0000  3.5000  3.4000  3.8000  3.6000  3.5000  3.2000
195  3.5000  3.3000  3.5000  3.2000  3.7000  3.5000  3.2000  3.3000
196  3.4000  3.8000  3.6000  3.3000  3.4000  3.5000  3.2000  3.5000
197  3.5000  3.4000  3.2000  3.4000  3.4000  3.5000  3.6000  3.3000
198  3.8000  3.4000  3.1000  3.3000  3.4000  3.3000  3.1000  3.3000
199  3.2000  3.1000  2.9000  3.3000  3.4000  3.6000  3.2000  3.5000
200  3.2000  3.7000  3.3000  3.1000  3.6000  3.5000  3.6000  3.2000
201  3.6000  3.5000  3.1000  3.3000  3.4000  3.3000  3.2000  3.2000
202  3.9000  3.7000  3.4000  3.2000  3.7000  3.6000  3.2000  3.4000
203  3.5000  3.1000  3.1000  3.0000  3.2000  3.4000  3.2000  3.4000
204  3.6000  3.4000  3.1000  3.2000  3.3000  3.4000  3.4000  3.5000
205  3.4000  3.2000  2.9000  3.1000  3.2000  3.6000  2.7000  3.1000
206  3.2000  3.2000  3.0000  3.1000  3.3000  3.4000  3.4000  3.1000
207  3.0000  2.8000  2.9000  2.8000  3.6000  3.7000  2.9000  2.8000
208  3.6000  3.4000  2.8000  3.3000  3.4000  3.0000  3.1000  3.1000
209  2.9000  3.5000  3.0000  3.4000  3.1000  2.7000  3.1000  3.2000
210  3.3000  3.0000  2.8000  2.6000  3.4000  3.2000  2.9000  2.8000
211  3.0000  3.3333  3.2222  3.0000  3.1111  3.8889  3.0000  3.3333
212  3.4444  3.6667  3.0000  2.6667  3.2222  3.6667  2.8889  3.0000
213  3.3333  3.0000  3.3333  3.4444  3.4444  3.5556  3.1111  2.5556
214  3.1111  3.4444  3.3333  3.2222  3.4444  3.3333  3.1111  3.1111
215  3.5556  3.3333  3.4444  3.0000  3.6667  3.0000  3.1111  3.2222
216  3.2222  3.3333  3.1111  3.2222  3.5556  3.3333  3.4444  3.3333
217  3.1111  3.1111  2.8889  2.8889  3.3333  3.2222  3.2222  3.1111
218  3.5556  3.1111  3.1111  2.6667  3.3333  2.8889  2.8889  2.8889
219  3.4444  3.1111  3.0000  3.1111  3.0000  3.2222  3.2222  2.7778
220  3.2222  3.7778  3.0000  3.3333  3.2222  3.3333  3.1111  2.7778
221  3.3333  3.3333  3.2222  2.7778  3.0000  3.3333  3.1111  3.0000
222  3.4444  3.1111  2.7778  3.1111  2.6667  2.8889  3.4444  3.2222
223  3.0000  3.0000  3.1111  2.5556  3.3333  3.2222  3.1111  3.0000
224  3.4444  3.3333  2.7778  2.6667  3.3333  2.8889  2.6667  3.4444
225  3.0000  2.6667  2.7778  3.3333  3.0000  2.8889  2.7778  2.8889
226  3.2222  3.2222  2.7778  2.8889  3.1111  3.1111  2.8889  3.2222
227  3.1111  3.3333  2.5556  2.6667  2.7778  3.3333  2.8889  2.6667
228  3.0000  3.0000  2.8889  2.6667  3.2222  3.2222  2.6667  2.8889
229  2.6667  3.0000  2.6667  3.1111  2.7778  3.0000  2.6667  2.8889
230  2.6667  3.1111  2.8889  3.0000  3.1111  3.1111  3.0000  2.8889
231  3.4444  3.1111  3.0000  2.8889  3.1111  2.8889  3.0000  2.8889
232  2.7500  3.3750  3.0000  3.5000  3.3750  3.3750  3.0000  3.1250
233  3.3750  3.3750  3.1250  3.2500  3.2500  3.1250  3.3750  3.1250
234  3.2500  3.1250  2.7500  2.7500  3.2500  2.8750  3.0000  2.8750
