n+m n_v111 n_v112 n_v121 n_v122 n_v211 n_v212 n_v221 n_v222
80  7.3333  6.7222  6.9444  6.6667  7.3333  7.0556  6.5556  6.5556
81  6.8333  7.0556  6.6667  6.8889  6.8333  6.8333  6.7222  6.6111
82  6.5556  7.1111  6.5556  6.6667  6.5556  6.7222  6.3333  6.7778
83  6.6667  6.5000  6.5556  6.3333  6.6667  6.3333  6.4444  6.4444
84  6.6111  6.2222  6.3333  6.2778  6.6111  6.6111  6.5556  6.3333
85  6.5556  6.3889  6.0000  6.2222  6.5556  6.3889  6.2778  6.3889
86  6.3333  6.3889  6.3889  6.2222  6.3333  6.1667  6.3889  6.6667
87  6.5556  6.0000  6.5556  6.1111  6.5556  6.3333  6.0000  6.3333
88  6.2222  6.2222  6.6667  6.6111  6.2222  6.2222  6.5000  6.2222
89  6.0556  6.2778  6.0556  5.8889  6.0556  6.5556  6.1111  6.1667
90  6.1111  6.5556  5.8889  5.9444  6.1111  6.2222  6.1111  6.2778
91  6.0556  6.1667  5.9444  6.0000  6.0556  6.3333  6.0000  5.7222
92  6.6471  6.2941  5.9412  6.3529  6.6471  6.1765  6.4706  6.2941
93  6.4118  6.2353  6.1176  6.0588  6.4118  6.2941  6.5294  5.9412
94  6.1765  6.2353  5.9412  6.2353  6.1765  6.2353  6.2941  6.1765
95  5.8235  6.4118  6.2353  6.0000  5.8235  6.4706  6.5294  6.2941
96  5.8824  6.0000  6.5882  5.8824  5.8824  6.1765  5.7647  5.6471
97  5.9412  6.3529  6.2353  5.9412  5.9412  5.7059  5.8235  6.4118
98  6.1765  6.1176  6.1765  5.8824  6.1765  6.0000  5.7647  6.0588
99  5.7059  5.6471  5.9412  5.8235  5.7059  6.0000  6.2353  5.5882
100  5.7059  6.0588  5.7647  5.9412  5.7059  5.8235  5.7647  5.7059
101  6.3529  5.7059  5.8824  5.4118  6.3529  6.0588  5.5294  5.8235
102  6.0000  5.8235  5.5294  5.4706  6.0000  5.5294  5.3529  5.4118
103  5.8824  5.8824  5.3529  5.0588  5.8824  5.5882  4.9412  5.4118
104  5.2941  5.7647  5.2353  5.2941  5.2941  5.5294  5.4118  5.4118
105  5.4118  5.5294  5.3529  5.2941  5.4118  5.5882  5.5294  5.5294
106  6.1250  5.5625  5.6875  5.7500  6.1250  5.8125  6.1250  5.4375
107  5.8125  5.5000  5.7500  5.6875  5.8125  5.6250  5.7500  5.6250
108  6.0000  5.8750  5.6875  5.5625  6.0000  6.0000  6.0625  5.5000
109  5.6875  5.3750  5.1250  5.7500  5.6875  5.7500  5.3125  5.5000
110  5.5000  5.7500  5.6875  5.6250  5.5000  5.5625  5.4375  5.5000
111  5.6250  5.7500  5.6250  5.3750  5.6250  5.6875  5.3750  5.6250
112  5.6250  5.3750  5.6875  5.5000  5.6250  5.9375  5.6875  5.6875
113  5.5000  5.7500  5.3750  5.2500  5.5000  5.5625  5.4375  5.4375
114  5.6250  5.4375  5.1250  5.2500  5.6250  5.5625  5.0000  5.0625
115  5.5625  5.1250  5.1250  5.2500  5.5625  5.6875  5.2500  5.0625
116  5.6250  5.0625  5.3125  4.6875  5.6250  5.3125  5.0000  5.0625
117  5.5000  5.4375  5.4375  5.1875  5.5000  5.3750  5.3125  5.2500
118  4.8750  5.3125  5.0000  5.0625  4.8750  5.7500  4.8750  5.1250
119  5.4375  5.6875  5.2500  5.1250  5.4375  5.5000  4.8125  5.2500
120  4.8750  4.8750  4.5000  4.8750  4.8750  5.3125  5.0000  4.8750
121  5.5333  5.4667  4.9333  5.1333  5.5333  5.1333  4.6667  5.0000
122  5.3333  4.6000  5.1333  5.2667  5.3333  4.9333  4.8667  5.4000
123  5.1333  5.4000  5.2667  5.4000  5.1333  5.2667  4.8667  5.0000
124  5.4667  4.9333  5.0000  4.8000  5.4667  5.2000  4.9333  4.2667
125  5.6000  5.2667  5.1333  4.8667  5.6000  5.6000  5.3333  5.2000
126  5.0000  5.0000  5.3333  4.6667  5.0000  5.0667  4.8000  4.8667
127  5.0667  5.0000  5.2000  4.7333  5.0667  5.0000  4.8667  5.0667
128  5.3333  5.4667  4.9333  5.0000  5.3333  5.4000  4.9333  4.5333
129  4.6667  5.2000  4.6000  4.6000  4.6667  4.9333  5.2000  5.2000
130  4.6000  5.0000  4.3333  4.6667  4.6000  5.1333  4.3333  4.8667
131  4.7333  5.1333  4.5333  5.2000  4.7333  4.9333  4.9333  5.0000
132  4.8667  4.8667  5.0000  4.9333  4.8667  4.4667  4.5333  4.5333
133  5.2667  4.9333  4.9333  4.9333  5.2667  5.1333  4.8667  4.5333
134  4.4667  5.1333  4.6000  4.6667  4.4667  4.8000  4.7333  4.6667
135  4.4667  4.6667  4.8667  4.9333  4.4667  4.9333  4.6000  4.3333
136  4.8667  5.0000  4.8667  4.3333  4.8667  4.8667  4.5333  4.8667
137  4.9286  4.8571  4.8571  4.7143  4.9286  5.1429  4.7143  4.7857
138  5.0714  4.7143  5.0714  5.0000  5.0714  5.2857  4.4286  5.2143
139  4.9286  4.9286  5.0000  4.6429  4.9286  4.8571  4.8571  5.1429
140  4.6429  4.8571  5.2857  4.5000  4.6429  5.0714  4.8571  5.1429
141  5.0000  4.7143  4.6429  4.7143  5.0000  4.8571  4.2857  4.6429
142  4.5714  4.7857  4.5714  4.7857  4.5714  4.7857  4.6429  4.8571
143  5.0714  5.0000  4.5000  4.1429  5.0714  4.5714  4.2143  4.4286
144  4.7143  4.2857  4.6429  4.7143  4.7143  4.7143  4.7143  4.7143
145  5.0714  5.0000  4.5714  4.5714  5.0714  4.8571  4.2143  4.7143
146  4.7857  4.6429  4.4286  4.6429  4.7857  4.7143  4.0714  4.5714
147  4.5714  4.6429  4.5000  4.2143  4.5714  4.5714  4.5000  4.2143
148  5.0714  5.0714  4.5000  4.3571  5.0714  4.6429  4.1429  4.0714
149  4.5714  4.2857  4.3571  4.5000  4.5714  4.3571  4.5000  4.4286
150  4.3571  4.4286  4.3571  5.0000  4.3571  4.5000  4.5000  4.5000
151  4.7857  4.2143  4.5000  4.0714  4.7857  4.0714  4.3571  4.5000
152  4.3571  4.4286  4.2857  4.1429  4.3571  4.7857  4.0714  4.2857
153  4.3571  3.8571  4.2143  4.2857  4.3571  4.5714  4.2857  4.3571
154  4.2308  4.6923  4.3077  4.3077  4.2308  4.3846  4.6923  4.8462
155  4.4615  4.1538  4.5385  4.0769  4.4615  4.6154  4.3846  4.3077
156  4.5385  4.5385  4.2308  4.6923  4.5385  4.5385  4.5385  4.3846
157  4.6154  4.4615  4.4615  4.4615  4.6154  4.8462  4.5385  4.3846
158  4.2308  4.3077  4.3077  4.6923  4.2308  4.5385  4.1538  4.3077
159  4.5385  4.8462  4.0769  4.0769  4.5385  4.7692  4.3077  4.5385
160  4.3846  4.6154  4.3846  3.7692  4.3846  4.3846  4.0000  4.3077
