n+m n_v111 n_v112 n_v121 n_v122 n_v211 n_v212 n_v221 n_v222
333  2.6000  2.6000  2.8000  2.2000  2.6000  2.8000  2.4000  2.4000
334  2.6000  2.6000  2.6000  2.2000  2.6000  3.0000  2.4000  2.0000
335  2.6000  3.0000  2.4000  2.2000  2.6000  2.6000  2.4000  2.4000
336  3.0000  2.2000  2.6000  2.4000  3.0000  2.6000  2.0000  2.4000
337  2.6000  2.2000  2.4000  2.2000  2.6000  2.6000  2.2000  2.2000
338  2.2000  2.6000  2.2000  1.8000  2.2000  2.2000  2.2000  2.2000
339  2.8000  2.4000  1.8000  2.4000  2.8000  2.4000  2.2000  2.0000
340  2.6000  2.0000  1.8000  2.4000  2.6000  2.4000  2.2000  2.2000
341  2.0000  2.2000  2.2000  2.0000  2.0000  2.4000  2.0000  1.8000
342  2.0000  2.6000  2.4000  1.6000  2.0000  2.2000  2.4000  2.4000
343  2.6000  2.0000  2.4000  2.0000  2.6000  2.2000  1.8000  2.0000
344  2.6000  2.4000  1.8000  2.0000  2.6000  2.2000  2.0000  2.0000
345  2.2000  2.4000  2.6000  2.0000  2.2000  2.0000  1.8000  2.6000
346  2.2000  2.0000  2.2000  2.2000  2.2000  2.2000  1.8000  1.8000
347  2.4000  1.8000  2.0000  2.0000  2.4000  2.2000  2.2000  1.8000
348  2.2000  2.2000  2.2000  1.8000  2.2000  2.0000  2.0000  2.0000
349  2.0000  2.6000  1.8000  2.4000  2.0000  2.2000  1.8000  1.8000
350  1.8000  2.2000  2.4000  2.4000  1.8000  2.0000  2.2000  2.0000
351  2.2000  2.4000  2.2000  1.8000  2.2000  2.4000  2.0000  2.2000
352  2.0000  2.5000  2.2500  2.0000  2.0000  2.5000  2.5000  2.2500
353  2.0000  2.5000  2.0000  2.0000  2.0000  2.5000  1.7500  1.7500
354  2.5000  2.2500  2.2500  2.2500  2.5000  2.5000  2.0000  2.2500
355  1.7500  2.5000  2.0000  2.2500  1.7500  2.2500  2.2500  2.2500
356  2.2500  2.7500  1.5000  2.2500  2.2500  2.5000  2.2500  2.5000
357  2.2500  2.2500  2.5000  2.2500  2.2500  2.0000  1.7500  2.0000
358  2.5000  2.5000  2.5000  2.2500  2.5000  2.5000  2.2500  1.7500
359  3.0000  2.5000  2.5000  2.0000  3.0000  2.2500  2.5000  2.2500
360  2.5000  2.0000  2.2500  2.0000  2.5000  2.5000  2.5000  2.5000
361  2.5000  2.0000  2.0000  2.2500  2.5000  2.5000  2.0000  2.0000
362  2.2500  2.2500  1.7500  2.0000  2.2500  2.2500  2.0000  2.2500
363  2.0000  2.0000  2.0000  2.0000  2.0000  2.5000  2.5000  2.0000
364  1.7500  2.2500  2.0000  2.5000  1.7500  2.2500  1.7500  2.2500
365  2.0000  2.0000  2.2500  2.2500  2.0000  3.0000  1.7500  2.0000
366  2.2500  2.0000  2.5000  2.0000  2.2500  2.7500  2.0000  2.0000
367  1.7500  1.5000  2.0000  2.0000  1.7500  1.7500  2.0000  2.2500
368  2.5000  2.0000  1.7500  2.2500  2.5000  2.2500  1.7500  2.0000
369  2.2500  2.2500  1.7500  2.2500  2.2500  2.2500  1.7500  1.7500
370  2.2500  2.2500  1.7500  1.7500  2.2500  2.5000  1.7500  2.0000
371  2.2500  2.7500  1.7500  1.5000  2.2500  2.7500  1.5000  2.0000
372  1.7500  2.0000  1.7500  2.0000  1.7500  2.5000  2.5000  2.0000
373  1.7500  2.5000  2.0000  1.7500  1.7500  2.2500  2.0000  1.7500
374  2.5000  2.0000  1.7500  1.7500  2.5000  2.2500  1.5000  2.0000
375  2.0000  1.7500  1.7500  1.7500  2.0000  1.7500  1.7500  1.7500
376  2.7500  2.0000  2.0000  1.7500  2.7500  1.7500  1.7500  2.2500
377  2.0000  2.2500  1.7500  2.0000  2.0000  2.0000  1.7500  2.0000
378  2.2500  2.2500  2.0000  2.0000  2.2500  2.2500  2.0000  2.0000
379  2.0000  2.0000  2.3333  2.3333  2.0000  2.6667  2.0000  2.0000
380  2.0000  2.0000  2.0000  2.3333  2.0000  2.0000  1.6667  1.6667
381  2.0000  2.3333  1.6667  2.3333  2.0000  2.6667  2.3333  2.0000
382  3.0000  1.6667  2.0000  2.0000  3.0000  2.3333  1.6667  1.6667
383  2.3333  2.3333  2.0000  2.0000  2.3333  2.3333  2.0000  2.0000
384  2.0000  2.3333  2.0000  2.3333  2.0000  2.0000  2.0000  2.0000
385  2.3333  2.0000  1.6667  1.6667  2.3333  1.6667  2.0000  2.0000
386  2.0000  2.3333  2.3333  2.3333  2.0000  2.3333  2.0000  1.6667
387  2.0000  2.3333  1.6667  2.0000  2.0000  1.6667  2.0000  1.6667
388  2.0000  2.0000  2.0000  2.0000  2.0000  2.6667  2.0000  2.6667
389  2.6667  1.6667  2.0000  1.6667  2.6667  2.3333  2.0000  1.6667
390  2.3333  2.3333  1.6667  2.3333  2.3333  2.0000  1.6667  1.6667
391  1.6667  2.3333  2.0000  2.0000  1.6667  1.6667  2.0000  2.0000
392  2.3333  1.6667  2.0000  1.6667  2.3333  1.6667  2.0000  1.6667
393  1.6667  2.0000  1.6667  1.6667  1.6667  2.0000  1.6667  2.0000
394  2.0000  2.6667  1.6667  1.6667  2.0000  2.0000  2.0000  1.6667
395  2.0000  2.3333  2.0000  1.6667  2.0000  2.3333  2.0000  2.0000
396  1.6667  2.3333  1.3333  1.6667  1.6667  2.3333  1.3333  1.6667
397  2.0000  2.0000  1.6667  1.6667  2.0000  2.3333  1.6667  2.0000
398  2.0000  1.6667  2.0000  1.6667  2.0000  2.3333  1.6667  1.6667
399  2.0000  1.6667  1.6667  1.6667  2.0000  1.6667  1.6667  1.6667
400  2.0000  2.0000  1.6667  1.6667  2.0000  1.6667  1.3333  1.6667
401  1.3333  2.0000  2.0000  1.3333  1.3333  1.6667  1.3333  1.3333
402  2.0000  2.0000  1.6667  1.6667  2.0000  1.6667  1.6667  1.6667
403  2.0000  2.0000  1.6667  1.6667  2.0000  1.6667  1.6667  1.6667
404  2.3333  2.3333  1.6667  1.6667  2.3333  1.6667  1.3333  1.6667
405  2.0000  2.0000  2.0000  1.6667  2.0000  2.0000  1.6667  2.0000
406  2.0000  1.3333  1.6667  1.6667  2.0000  2.0000  1.6667  1.3333
407  2.0000  3.0000  2.0000  1.5000  2.0000  2.5000  2.0000  1.5000
408  2.5000  2.0000  2.0000  1.5000  2.5000  2.5000  2.0000  2.0000
409  2.5000  2.0000  1.5000  2.0000  2.5000  2.0000  2.0000  2.0000
410  1.5000  2.5000  1.5000  2.0000  1.5000  2.0000  2.0000  1.0000
411  2.0000  2.0000  1.5000  2.0000  2.0000  1.5000  1.5000  2.0000
412  2.5000  2.0000  1.5000  1.5000  2.5000  2.5000  1.5000  1.5000
413  2.0000  2.5000  1.5000  1.5000  2.0000  2.0000  2.0000  1.5000
414  2.0000  2.0000  2.5000  1.5000  2.0000  2.5000  2.0000  1.5000
415  2.0000  2.0000  2.0000  2.0000  2.0000  2.0000  2.0000  1.5000
416  2.0000  2.5000  1.5000  1.5000  2.0000  2.5000  1.5000  2.0000
417  2.0000  1.5000  1.5000  1.5000  2.0000  1.5000  2.0000  1.5000
418  2.0000  2.0000  2.0000  1.5000  2.0000  2.0000  1.5000  1.0000
419  2.0000  2.0000  1.5000  1.5000  2.0000  2.0000  1.5000  1.5000
420  2.0000  1.5000  2.0000  1.5000  2.0000  2.5000  1.5000  1.5000
421  2.0000  2.0000  1.5000  1.5000  2.0000  2.0000  2.0000  1.5000
422  1.5000  2.0000  1.5000  1.5000  1.5000  1.5000  1.5000  1.5000
423  2.0000  2.0000  1.0000  1.5000  2.0000  1.5000  1.5000  1.5000
424  2.0000  1.5000  1.5000  1.5000  2.0000  2.0000  1.5000  1.5000
425  1.5000  2.0000  1.5000  2.0000  1.5000  2.0000  1.5000  1.5000
426  2.0000  1.5000  1.0000  1.0000  2.0000  2.0000  1.5000  1.5000
427  1.5000  2.0000  1.5000  1.5000  1.5000  1.5000  2.0000  1.5000
428  2.0000  2.5000  1.5000  1.5000  2.0000  2.0000  1.5000  1.5000
429  1.5000  1.5000  1.0000  1.5000  1.5000  2.0000  1.5000  1.5000
430  2.0000  2.0000  1.5000  1.5000  2.0000  1.5000  1.5000  1.5000
431  1.5000  2.0000  1.0000  1.5000  1.5000  1.5000  1.0000  1.5000
432  2.0000  2.0000  1.5000  1.0000  2.0000  1.5000  1.5000  1.0000
433  1.5000  1.5000  1.5000  1.5000  1.5000  1.5000  1.5000  1.0000
434  1.0000  1.5000  1.5000  1.5000  1.0000  1.0000  1.5000  1.0000
435  1.5000  1.5000  1.0000  1.5000  1.5000  1.5000  1.5000  1.5000
436  2.0000  1.0000  2.0000  2.0000  2.0000  2.0000  1.0000  2.0000
437  2.0000  2.0000  2.0000  2.0000  2.0000  2.0000  2.0000  2.0000
438  2.0000  2.0000  2.0000  2.0000  2.0000  2.0000  1.0000  1.0000
439  2.0000  2.0000  1.0000  1.0000  2.0000  2.0000  2.0000  2.0000
440  2.0000  2.0000  1.0000  2.0000  2.0000  1.0000  1.0000  2.0000
441  1.0000  2.0000  2.0000  1.0000  1.0000  1.0000  2.0000  2.0000
442  2.0000  2.0000  1.0000  1.0000  2.0000  2.0000  2.0000  2.0000
443  2.0000  2.0000  2.0000  2.0000  2.0000  2.0000  2.0000  1.0000
444  1.0000  1.0000  2.0000  2.0000  1.0000  2.0000  2.0000  1.0000
445  2.0000  1.0000  2.0000  2.0000  2.0000  1.0000  1.0000  1.0000
446  1.0000  1.0000  1.0000  1.0000  1.0000  2.0000  1.0000  1.0000
447  2.0000  2.0000  1.0000  1.0000  2.0000  1.0000  1.0000  1.0000
448  2.0000  2.0000  1.0000  1.0000  2.0000  2.0000  2.0000  1.0000
449  2.0000  2.0000  1.0000  2.0000  2.0000  2.0000  1.0000  1.0000
450  2.0000  1.0000  1.0000  1.0000  2.0000  2.0000  1.0000  1.0000
451  1.0000  3.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
452  2.0000  2.0000  1.0000  1.0000  2.0000  1.0000  1.0000  1.0000
453  2.0000  2.0000  1.0000  1.0000  2.0000  2.0000  1.0000  1.0000
454  1.0000  2.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
455  1.0000  2.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
456  2.0000  1.0000  1.0000  1.0000  2.0000  1.0000  1.0000  1.0000
457  2.0000  1.0000  1.0000  1.0000  2.0000  1.0000  1.0000  1.0000
458  1.0000  1.0000  1.0000  1.0000  1.0000  2.0000  1.0000  1.0000
459  2.0000  2.0000  1.0000  1.0000  2.0000  1.0000  1.0000  1.0000
460  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
461  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
462  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
463  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
464  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
465  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
