n+m t_v111 t_v112 t_v121 t_v122 t_v211 t_v212 t_v221 t_v222
131  897092  932951  876219  894130  503530  519251  475699  502529
132  895357  915457  838500  886605  485625  492818  455990  473752
133  872170  891234  842221  872822  484301  491994  463957  470542
134  907235  931194  869703  886297  478121  495555  468240  485996
135  868245  879181  843779  845543  470955  471780  454059  448460
136  858131  893898  837177  866124  464792  474260  449993  461954
137 1042320 1070586  989308 1002079  548645  568322  522873  541272
138  957274  986581  933331  952910  514891  535594  506577  513074
139 1027648 1036863 1001375 1020768  567578  567214  528796  548739
140  941193  936547  907041  907315  503100  510174  488120  490082
141  984320  979971  965880  971893  539399  538436  511409  521482
142  950921  957496  902968  931631  516955  514140  489336  493068
143  976067  981098  924986  927026  508044  519790  499938  497289
144  931132  932909  895991  891684  498654  495040  465404  475869
145  924368  921159  891147  873244  498234  486056  481215  485527
146  951633  941406  910332  921097  517646  503683  485987  488881
147  982289  959235  905301  913349  518094  512892  493811  490400
148  911767  914948  887700  896000  501737  496278  480737  475799
149  941106  912893  881132  906423  512902  511552  483896  482376
150  988713  980139  945178  926255  517130  505916  491898  477237
151  893089  884472  840626  835315  470694  472524  452301  461238
152  930893  914865  882638  901185  489296  491855  465804  478752
153  889968  863975  847730  856769  476751  463279  457332  444451
154 1014750 1030023  980896  974597  530012  538778  510068  508299
155 1119095 1104561 1048306 1049603  573548  578007  557499  560176
156 1046398 1014713  991208  952077  557760  534514  531166  525117
157 1094953 1100486 1061044 1066210  592975  579692  559562  545109
158 1017128  981606  967893  961719  536540  520325  506456  500888
159 1022034 1000477  982226  949197  525971  519542  520262  513562
160 1009925  977876  950812  929461  508676  496665  484425  496924
161 1016915 1007808  963549  957331  522559  523142  505689  501878
162 1003696 1004652  949793  951612  513992  514176  489399  491339
163 1014057  995515  967309  983721  535917  522704  509379  500868
164 1026408  999486  959902  951026  531267  524002  495647  497003
165  957765  973926  913195  922020  506446  494213  473171  459691
166  998189  994622  951223  941367  516498  520848  487666  487881
167  992773  981539  939818  936316  512949  523914  496411  492365
168  962938  986272  954826  934467  501127  503510  473629  477122
169 1007753 1014569  957705  984336  542797  533014  507746  499921
170 1007496 1005219  947439  952593  521409  512491  494312  493363
171 1007990  982124  941721  943017  494926  497078  467988  495377
172 1201368 1204678 1153044 1119326  616429  596334  606384  598853
173 1121486 1096515 1071764 1066105  565546  579451  542930  536222
174 1017252 1002805  960968  968715  520674  520823  499736  502292
175 1061730 1056716 1007246  998023  540373  533580  524189  528871
176 1093680 1085886 1024982 1024480  565085  557746  526021  532269
177 1095020 1065270 1084186 1043201  560213  549272  535402  525728
178 1120347 1143678 1080966 1084595  573099  574394  527375  527130
179 1117033 1074116 1033849 1065910  576064  575557  541037  542817
180 1024671 1035372  961002  940553  516560  531408  493423  487855
181 1111253 1095273 1009469 1021525  564594  585418  532677  546353
182 1049665 1066950  980314 1007773  547066  545656  522427  508581
183 1061167 1071363 1010706 1008580  539318  527656  508376  507580
184  969161  972128  887641  894237  490799  482844  466568  480068
185 1054225 1042739  944904  961886  521436  526135  477408  482765
186  916427  920392  845363  852758  489374  494909  452637  466438
187  899462  882759  807542  823248  430369  443223  409010  420376
188  864649  854726  844399  844167  466588  455619  428946  428682
189  895844  891098  822007  863389  472727  465080  431892  436826
190  877926  891347  860161  865966  442624  456401  425336  432916
191 1253700 1246612 1148311 1140985  611448  614824  566608  573560
192 1258853 1268233 1199950 1235325  638463  632793  593932  592137
193 1006186 1008563  937659  926531  514553  499201  484855  488630
194  969073  971667  898775  915280  483902  489269  448534  461270
195 1070698 1074103  936985  960970  542530  553763  483562  502715
196  953210  953699  868349  875389  481254  482321  444886  442175
197 1127695 1111443  997823 1029762  559694  564636  503480  531173
198  906032  942880  816420  832282  453549  454972  407466  420189
199 1021428 1028360  952047  934866  527481  505352  443954  444763
200  839412  842020  705477  723498  413179  431755  360464  359473
201  803157  809139  685711  706385  417153  406897  338186  351629
202  746623  769432  648086  663829  373745  383606  332015  330568
203  845430  847695  695507  721137  412971  432276  346587  355782
204  736752  737588  608044  616674  365686  384042  307116  306508
205  724090  743377  605149  626757  368272  381488  317208  320587
206  672977  680336  580571  591373  326366  348890  291981  301185
207  641056  665169  593370  599142  335132  333282  296039  297871
208  664871  683797  640647  638900  325458  346183  313804  315878
209  601730  617906  574623  587619  304183  310994  289799  297003
210  607840  621686  633984  639379  311558  317434  306807  313821
