m t_v111 t_v112 t_v121 t_v122 t_v211 t_v212 t_v221 t_v222
118 1053921 1026114 1006493 1029489  552249  567511  537733  541866
119 1034866 1088422  990053 1028678  565402  589618  535377  577066
120 1003632  976713  941567  952795  519801  545843  517139  518596
121 1258448 1328852 1280340 1291914  696022  726802  685096  695852
122 1204907 1152997 1167526 1105862  614756  591362  588580  581519
123 1275110 1267597 1282241 1252132  682908  701070  677862  663885
124 1269810 1284918 1218393 1205098  662766  656005  661366  671286
125 1156897 1157105 1071905 1107875  629447  621190  596721  602682
126 1145870 1141332 1156197 1167348  645419  637279  605147  610935
127 1138028 1148512 1165960 1147828  655514  627923  598873  594708
128 1152818 1099133 1058959 1073732  598386  574546  579291  559275
129 1162762 1187697 1099152 1134741  649026  637847  597560  575381
130 1242654 1227906 1167812 1162443  665907  686809  600780  633998
131 1251980 1256235 1177147 1165747  665789  644023  626383  616103
132 1181224 1226130 1165722 1127444  635482  622728  596851  607555
133 1092098 1041868  983514  997802  579295  549108  535889  526875
134 1188234 1240165 1185988 1189336  629389  599294  606596  615188
135 1128837 1073742 1034899 1081955  621195  633041  588984  603030
136 1024025 1035474  948710  951226  547331  553385  535398  537774
137 1348304 1390403 1349911 1360779  728925  699294  704867  700992
138 1216487 1129188 1150403 1151342  641084  633359  615505  603525
139 1145657 1150619 1112460 1032314  577485  571025  537354  565061
140 1150024 1094904 1098834 1084242  604443  583002  559126  554229
141 1191421 1189437 1267368 1207872  671821  675949  633210  622013
142 1064250 1060260 1033277 1037498  582905  558464  549500  515985
143 1130348 1092940 1081924 1065304  608386  587791  553144  554565
144 1117849 1129046 1075945 1050324  601797  567480  544222  525705
145 1080753 1084812 1006096  994923  546368  544469  538819  527235
146 1121067 1130795 1095995 1063884  575285  598120  560145  543113
147  981558 1012797  996661 1006275  535220  546643  512051  496064
148 1173517 1206500 1140874 1144347  638601  620574  594415  568975
149 1120808 1084107 1042301 1009040  557111  576880  562213  570961
150 1109922 1087296 1045434 1037424  561575  560221  528177  544289
151 1000967  984857  968068 1020448  563099  558444  506848  507029
152  977481  961263  918966  924801  512639  519069  507533  504873
153  953931  944406  915806  970901  508850  504763  489778  487483
154 1150775 1148146 1086873 1075125  593484  568962  572857  558512
155 1115614 1070934 1018529  992033  563612  554293  520134  528661
156 1090453 1082402 1061245 1050752  558703  557000  554577  536232
157 1131671 1114367 1062419 1017813  568040  566798  538786  547713
158 1027277 1020963  963278  987712  533505  516436  489798  489696
159 1084214 1052286  983737 1014934  561490  561700  543231  526883
160 1313262 1358473 1251899 1194260  627502  625577  580360  583061
161 1015176 1043258 1006979  979248  534269  527811  496458  505010
162 1111766 1120571 1034264 1058763  571703  577194  528896  521171
163 1015397 1012452  945084  978152  530377  531149  480615  489911
164 1018044 1007306 1007933  989586  549627  545508  502938  512143
165  964929  973413  888032  926055  500213  499106  485218  466861
166  981124  982447  909294  925547  488655  493630  455614  471193
167  857766  865550  787336  810674  435890  442115  402528  416888
168  948943  975250  905617  912676  489343  485354  447621  462368
169  883048  882896  810733  830537  442490  477413  433168  438818
170  804606  799185  759152  763611  421921  410127  394273  386582
171  861055  869622  831985  808102  409823  419954  402724  411844
172 1172039 1168017 1111178 1127591  565389  592852  568824  580792
173 1249435 1270496 1154877 1160651  596877  566532  581066  554172
174 1305388 1240066 1282897 1294427  677930  612944  567512  645012
175  872422  880627  776664  773345  437669  451384  409306  402321
176  945965  943956  859516  845071  469681  478796  434091  440502
177 1011178 1013140  879870  853717  445158  467997  445558  443685
